state,start,end,duration_minutes,details
cruising,2025-09-25 12:30:02,2025-09-25 12:49:31,19.483333333333334,{}
occupied,2025-09-25 12:49:31,2025-09-25 13:00:02,10.516666666666667,"{'pickup_lon': 114.11934, 'pickup_lat': 22.612095, 'dropoff_lon': 114.131792, 'dropoff_lat': 22.633495, 'mileage': 4.397, 'fare': 24.0}"
cruising,2025-09-25 13:00:02,2025-09-25 14:50:29,110.45,{}
occupied,2025-09-25 14:50:29,2025-09-25 15:00:54,10.416666666666666,"{'pickup_lon': 114.1099, 'pickup_lat': 22.54468, 'dropoff_lon': 114.114675, 'dropoff_lat': 22.531222, 'mileage': 1.737, 'fare': 14.0}"
cruising,2025-09-25 15:00:54,2025-09-25 15:16:19,15.416666666666666,{}
occupied,2025-09-25 15:16:19,2025-09-25 15:40:08,23.816666666666666,"{'pickup_lon': 114.124545, 'pickup_lat': 22.563777, 'dropoff_lon': 114.050035, 'dropoff_lat': 22.545327, 'mileage': 9.887, 'fare': 38.0}"
cruising,2025-09-25 15:40:08,2025-09-25 15:48:23,8.25,{}
occupied,2025-09-25 15:48:23,2025-09-25 16:16:56,28.55,"{'pickup_lon': 114.034025, 'pickup_lat': 22.550035, 'dropoff_lon': 114.066765, 'dropoff_lat': 22.55911, 'mileage': 7.757, 'fare': 37.5}"
cruising,2025-09-25 16:16:56,2025-09-25 16:22:50,5.9,{}
occupied,2025-09-25 16:22:50,2025-09-25 16:39:19,16.483333333333334,"{'pickup_lon': 114.061062, 'pickup_lat': 22.56393, 'dropoff_lon': 114.025395, 'dropoff_lat': 22.55594, 'mileage': 4.395, 'fare': 23.0}"
cruising,2025-09-25 16:39:19,2025-09-25 16:49:49,10.5,{}
occupied,2025-09-25 16:49:49,2025-09-25 17:04:09,14.333333333333334,"{'pickup_lon': 114.0185, 'pickup_lat': 22.556432, 'dropoff_lon': 114.03078, 'dropoff_lat': 22.529872, 'mileage': 3.863, 'fare': 21.0}"
cruising,2025-09-25 17:04:09,2025-09-25 17:07:49,3.6666666666666665,{}
occupied,2025-09-25 17:07:49,2025-09-25 17:18:48,10.983333333333333,"{'pickup_lon': 114.03481, 'pickup_lat': 22.526905, 'dropoff_lon': 114.056947, 'dropoff_lat': 22.54939, 'mileage': 5.121, 'fare': 20.5}"
cruising,2025-09-25 17:18:48,2025-09-25 17:52:35,33.78333333333333,{}
occupied,2025-09-25 17:52:35,2025-09-25 18:01:54,9.316666666666666,"{'pickup_lon': 114.08964, 'pickup_lat': 22.554087, 'dropoff_lon': 114.085132, 'dropoff_lat': 22.540757, 'mileage': 2.158, 'fare': 14.0}"
cruising,2025-09-25 18:01:54,2025-09-25 18:14:23,12.483333333333333,{}
occupied,2025-09-25 18:14:23,2025-09-25 18:21:05,6.7,"{'pickup_lon': 114.107585, 'pickup_lat': 22.53632, 'dropoff_lon': 114.115127, 'dropoff_lat': 22.53843, 'mileage': 2.187, 'fare': 12.0}"
cruising,2025-09-25 18:21:05,2025-09-25 18:53:25,32.333333333333336,{}
occupied,2025-09-25 18:53:25,2025-09-25 19:02:00,8.583333333333334,"{'pickup_lon': 114.12705, 'pickup_lat': 22.550012, 'dropoff_lon': 114.14179, 'dropoff_lat': 22.548207, 'mileage': 3.009, 'fare': 14.5}"
cruising,2025-09-25 19:02:00,2025-09-25 19:15:33,13.55,{}
